               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.059799,            0.022383,                   0,             0.10757,             0.85714,             0.14882,            0.038117,             0.04084,            0.016885,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.058769,            0.022069,                   0,            0.081213,             0.95238,             0.13456,            0.044828,            0.032881,            0.020077,                   0,            0.008746,            0.008746,            0.008746
                  40,             0.05839,            0.022186,                   0,            0.068594,             0.92857,             0.12294,            0.039356,            0.037532,            0.020396,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.059675,            0.022136,                   0,           0.0071794,             0.97619,            0.022456,           0.0074628,            0.051434,            0.027149,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.058157,            0.022526,                   0,             0.11069,             0.90476,             0.12564,            0.051841,            0.028001,            0.017337,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.058576,            0.022523,                   0,           0.0096493,             0.97619,            0.070837,            0.020404,            0.028849,            0.021839,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.055945,            0.022379,                   0,             0.16183,             0.57143,             0.15688,            0.062631,            0.032033,            0.016933,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.057279,            0.022971,                   0,             0.15583,             0.71429,             0.33925,            0.094584,            0.039249,            0.018516,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.056682,            0.021528,                   0,             0.26798,             0.85714,             0.47484,             0.24802,            0.033794,            0.014859,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.058769,            0.021051,                   0,             0.14558,             0.83333,             0.17266,            0.070117,             0.03977,            0.020316,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.057884,            0.021264,                   0,             0.11873,             0.69048,             0.14778,            0.055876,            0.044328,            0.019326,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.057073,            0.023063,                   0,             0.38188,             0.90476,             0.52638,             0.22769,             0.02956,            0.013175,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.054335,            0.021951,                   0,             0.34671,             0.33333,             0.44806,             0.17805,            0.041698,            0.013312,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.054879,            0.022179,                   0,             0.36111,             0.83333,              0.4202,             0.16051,            0.030155,            0.013312,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.055093,            0.021733,                   0,             0.01555,             0.83333,            0.035158,           0.0055193,            0.055562,            0.030259,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.052764,            0.022098,                   0,             0.38071,             0.61905,             0.45006,             0.16792,            0.034222,            0.014868,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.052712,            0.021039,                   0,            0.075848,             0.61905,            0.086314,            0.018462,            0.054297,            0.021555,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.051586,            0.020542,                   0,             0.22066,                 0.5,             0.23618,            0.072667,            0.040982,            0.021221,                   0,            0.008218,            0.008218,            0.008218
                  56,             0.05535,            0.021337,                   0,             0.52763,             0.90476,              0.8126,             0.31382,            0.032438,             0.01362,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.053253,            0.021295,                   0,             0.73698,             0.95238,             0.87348,             0.43572,            0.031157,            0.011165,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.050912,            0.021074,                   0,             0.84613,             0.95238,             0.90403,             0.48128,            0.029364,            0.011102,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.051917,            0.020284,                   0,             0.88737,             0.95238,             0.92516,             0.42268,             0.03149,            0.011151,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.049805,            0.020827,                   0,             0.60212,             0.92857,               0.797,              0.3243,             0.03062,             0.01292,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.051286,            0.020142,                   0,             0.50124,             0.88095,             0.70954,              0.3289,            0.031856,            0.014925,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.049217,            0.019442,                   0,              0.8479,             0.85714,             0.91913,             0.58471,            0.029723,            0.010293,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.052783,            0.018764,                   0,              0.3662,             0.35714,             0.38284,             0.12813,            0.041678,             0.01384,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.048359,            0.020231,                   0,             0.90845,             0.94515,              0.9254,             0.50016,            0.034855,           0.0099405,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.051152,            0.018386,                   0,             0.83069,             0.92857,             0.93351,             0.58866,            0.028891,             0.01036,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.050536,            0.019231,                   0,            0.008293,              0.2619,           0.0086347,           0.0017862,            0.060989,            0.030429,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.050058,            0.020385,                   0,             0.80323,             0.85714,             0.88469,             0.41906,            0.036315,            0.011165,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.050452,            0.019727,                   0,             0.95118,             0.92782,              0.9583,             0.65197,            0.036877,           0.0090183,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.050109,             0.01957,                   0,             0.89308,             0.92857,             0.95938,             0.40331,            0.032911,            0.010525,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.046738,            0.019744,                   0,             0.96557,             0.95238,             0.96082,             0.61805,            0.034545,           0.0087783,                   0,            0.007723,            0.007723,            0.007723
