               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  33,            0.031003,            0.011827,                   0,             0.97611,             0.97284,             0.95585,             0.69211,             0.02718,           0.0062799,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.030117,            0.012029,                   0,             0.97391,             0.97619,             0.95715,             0.78743,             0.02383,           0.0046854,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.031927,            0.011925,                   0,             0.97384,             0.97619,               0.958,             0.73814,            0.025378,           0.0053538,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.030562,            0.011301,                   0,             0.97396,             0.97619,             0.96885,             0.75794,            0.025719,           0.0049306,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.028597,            0.011421,                   0,             0.97403,             0.97619,              0.9688,             0.67489,            0.026533,           0.0062953,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.031156,            0.011602,                   0,             0.97443,             0.97619,             0.96564,             0.71306,            0.028494,           0.0057296,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.029922,             0.01148,                   0,             0.97128,             0.97619,             0.95605,             0.74457,            0.024607,           0.0055259,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.030545,            0.011003,                   0,             0.97309,             0.97619,             0.96129,             0.73812,            0.025431,           0.0056458,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.03061,             0.01129,                   0,             0.97447,             0.97619,             0.96694,             0.76458,            0.024844,           0.0051153,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.030322,            0.011343,                   0,             0.97424,             0.97619,             0.95385,              0.7297,             0.02755,           0.0053385,                   0,            0.008647,            0.008647,            0.008647
                  43,             0.02996,            0.011696,                   0,             0.97454,             0.97619,             0.96119,             0.69518,            0.026596,           0.0056643,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.029299,            0.010857,                   0,             0.97461,             0.97619,             0.96746,              0.7549,            0.025542,           0.0052271,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.028332,            0.011732,                   0,             0.97446,             0.97619,             0.96383,             0.78741,            0.023144,           0.0044969,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.030137,             0.01081,                   0,             0.97607,             0.97106,             0.96162,             0.58911,            0.030358,            0.005615,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.029371,            0.010683,                   0,             0.96068,             0.97619,             0.96331,             0.74737,            0.025194,           0.0051452,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.027937,            0.010811,                   0,             0.97433,             0.97619,             0.96111,             0.74562,            0.028828,           0.0048325,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.029252,            0.011496,                   0,             0.97251,             0.97619,             0.96454,             0.70316,            0.030025,           0.0049202,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.025752,            0.010904,                   0,             0.97226,             0.97619,             0.97464,              0.7599,            0.027951,           0.0051723,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.028112,            0.010947,                   0,             0.97195,             0.97619,             0.97388,             0.76289,            0.026685,           0.0058877,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.026907,            0.010512,                   0,              0.9744,             0.97619,             0.95595,             0.79467,            0.023445,           0.0046031,                   0,            0.008317,            0.008317,            0.008317
                  53,             0.02728,            0.010822,                   0,             0.97314,             0.97619,             0.95685,             0.78566,            0.024309,            0.004683,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.025426,            0.010331,                   0,             0.97309,             0.97619,             0.95688,              0.7765,            0.026982,           0.0047802,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.026748,            0.010299,                   0,             0.97448,             0.97619,             0.95475,             0.78993,            0.028404,           0.0041829,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.028886,            0.010834,                   0,             0.97438,             0.97619,             0.95562,             0.77695,            0.024126,           0.0045698,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.026773,            0.011174,                   0,             0.97422,             0.97619,             0.95717,             0.78512,            0.024232,             0.00459,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.027149,            0.010683,                   0,             0.97606,             0.97098,             0.97482,             0.72326,             0.02571,           0.0054164,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.026792,            0.010323,                   0,             0.97068,             0.97619,             0.96225,             0.69491,            0.026606,            0.006664,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.025815,            0.010795,                   0,             0.97425,             0.97619,             0.96062,             0.67682,            0.026953,           0.0057598,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.026275,            0.010219,                   0,             0.97444,             0.97619,             0.95466,             0.76607,            0.025543,           0.0045606,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.026754,           0.0099788,                   0,             0.96938,             0.97619,             0.95254,             0.75448,             0.02531,            0.004933,                   0,            0.007987,            0.007987,            0.007987
                  63,             0.02901,           0.0096136,                   0,             0.97423,             0.97619,             0.95283,             0.62903,            0.032025,           0.0073464,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.025312,            0.010675,                   0,             0.97437,             0.97619,             0.95237,             0.70922,            0.032174,           0.0053533,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.027233,           0.0097197,                   0,             0.97447,             0.97619,             0.95242,             0.74853,            0.026075,           0.0043902,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.026508,             0.01023,                   0,             0.97454,             0.97619,             0.96331,             0.76299,            0.023916,           0.0049671,                   0,            0.007855,            0.007855,            0.007855
                  67,             0.02722,            0.010858,                   0,             0.97455,             0.97619,             0.96384,             0.77485,            0.023823,           0.0053257,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.026522,            0.010698,                   0,             0.97456,             0.97619,             0.96078,             0.77896,            0.023317,           0.0044848,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.025788,            0.010425,                   0,             0.97441,             0.97619,             0.95397,             0.76094,            0.023444,           0.0050417,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.024619,             0.01064,                   0,             0.97427,             0.97619,             0.95757,             0.70962,            0.025129,           0.0060734,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.023629,             0.01032,                   0,              0.9747,             0.97619,             0.95575,             0.70205,            0.024657,           0.0049402,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.024097,           0.0096925,                   0,             0.97462,             0.97619,             0.95857,             0.76561,            0.021919,           0.0045358,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.025595,            0.010017,                   0,             0.97376,             0.97619,              0.9592,             0.77035,            0.023749,            0.005002,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.024165,            0.010259,                   0,             0.97427,             0.97619,             0.95927,             0.71007,            0.027367,           0.0054086,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.026603,           0.0098778,                   0,             0.97486,             0.97619,             0.97602,             0.70285,            0.026393,           0.0053167,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.024134,            0.010197,                   0,             0.97374,             0.97619,             0.96163,              0.7419,            0.023232,           0.0046546,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.025761,           0.0099561,                   0,             0.97396,             0.97619,             0.95917,               0.781,            0.020855,           0.0047693,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.023077,            0.010251,                   0,              0.9743,             0.97619,              0.9666,             0.68768,            0.026232,           0.0059438,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.025292,           0.0096137,                   0,              0.9534,             0.97619,              0.9631,             0.75526,            0.023972,           0.0050157,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.022762,           0.0094847,                   0,             0.97212,             0.97619,             0.95709,              0.7402,            0.025502,           0.0050206,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.025314,            0.009421,                   0,             0.97433,             0.97619,             0.95922,             0.78298,            0.023153,           0.0051103,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.024883,           0.0097418,                   0,             0.97446,             0.97619,              0.9579,             0.79988,            0.021589,           0.0047078,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.022975,           0.0097744,                   0,             0.97453,             0.97619,             0.96275,             0.74696,            0.025064,           0.0052584,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.023782,           0.0095864,                   0,             0.97326,             0.97619,             0.96364,             0.75497,            0.025482,           0.0050585,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.026429,           0.0097962,                   0,              0.9746,             0.97619,             0.95349,             0.73856,            0.026285,           0.0054157,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.023048,           0.0092906,                   0,              0.9744,             0.97619,             0.95418,             0.71189,             0.02836,           0.0061395,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.023429,           0.0091502,                   0,             0.97366,             0.97619,             0.95404,             0.73881,            0.025526,           0.0055405,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.023176,           0.0092061,                   0,             0.97458,             0.97619,             0.95629,             0.78239,            0.025369,           0.0047454,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.024184,           0.0089539,                   0,             0.97231,             0.97619,             0.95308,             0.78224,            0.025167,           0.0053147,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.022937,           0.0097078,                   0,             0.97396,             0.97619,             0.95723,             0.74975,            0.025428,           0.0053074,                   0,            0.007063,            0.007063,            0.007063
