               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.03145,           0.0056015,                   0,              0.8408,             0.88511,               0.909,              0.5093,            0.025461,           0.0044885,                   0,            0.008779,            0.008779,            0.008779
                  39,             0.03071,           0.0059124,                   0,             0.86522,             0.88085,             0.91388,             0.53125,            0.026047,           0.0042727,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.031836,           0.0055445,                   0,             0.84792,             0.90157,             0.92301,             0.53396,            0.025731,           0.0044695,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.031336,           0.0057444,                   0,             0.83515,             0.88936,             0.91667,             0.52008,            0.026602,           0.0043227,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.031989,           0.0055228,                   0,             0.87706,              0.8766,             0.93268,             0.53538,            0.025124,           0.0043826,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.030967,           0.0056762,                   0,             0.90766,             0.83653,             0.92169,             0.53597,            0.026588,           0.0043452,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.028906,           0.0052517,                   0,             0.87421,              0.8872,             0.93008,             0.53492,            0.025184,           0.0042537,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.028696,           0.0052319,                   0,             0.86413,             0.89787,             0.92814,             0.52532,            0.025361,            0.004258,                   0,            0.008548,            0.008548,            0.008548
                  46,             0.03083,           0.0054952,                   0,             0.85892,             0.93263,             0.94857,             0.55447,            0.024779,           0.0040339,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.028991,           0.0055366,                   0,             0.91586,             0.83378,             0.93699,             0.53061,             0.02471,           0.0041768,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.027944,           0.0055189,                   0,             0.90413,             0.85532,             0.94162,              0.5575,            0.024102,           0.0040507,                   0,            0.008449,            0.008449,            0.008449
                  49,              0.0282,           0.0050958,                   0,             0.88812,             0.91205,             0.94485,             0.54661,            0.025838,            0.004032,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.028097,           0.0053687,                   0,             0.91347,             0.88511,             0.93855,              0.5498,            0.024236,           0.0039492,                   0,            0.008383,            0.008383,            0.008383
                  51,             0.02995,            0.005319,                   0,             0.90929,             0.89576,              0.9446,             0.56604,            0.023789,           0.0038479,                   0,             0.00835,             0.00835,             0.00835
