               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10939,            0.021114,                   0,          0.00020305,            0.051064,          0.00010693,          2.3866e-05,            0.073935,            0.017772,                   0,            0.070667,           0.0032593,           0.0032593
                   1,            0.076416,            0.018588,                   0,           0.0023102,             0.59574,           0.0027979,          0.00074071,            0.069004,            0.013832,                   0,            0.040601,           0.0065273,           0.0065273
                   2,            0.064872,            0.016967,                   0,             0.20798,             0.14894,             0.11195,            0.024997,            0.062001,            0.010276,                   0,             0.01047,           0.0097294,           0.0097294
                   3,            0.060174,            0.014033,                   0,             0.48287,             0.58409,             0.52081,             0.22087,            0.050513,            0.010314,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.052596,            0.011775,                   0,             0.50283,             0.60851,             0.46338,             0.12934,            0.046879,           0.0086422,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.053743,            0.010443,                   0,             0.48775,             0.63404,             0.57472,               0.215,             0.04693,           0.0077688,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.04757,           0.0095779,                   0,             0.75555,             0.79574,             0.78956,             0.36226,            0.034311,           0.0079356,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.046569,           0.0087697,                   0,             0.57312,             0.69787,             0.61348,             0.28743,            0.039651,           0.0075621,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.042914,           0.0087391,                   0,             0.78238,             0.82979,             0.84601,             0.43246,             0.03157,           0.0070003,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.043746,           0.0083134,                   0,             0.86852,             0.80426,             0.86004,             0.36662,            0.037337,           0.0064436,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.041565,           0.0081514,                   0,             0.86728,             0.78723,             0.86791,             0.44967,            0.033587,           0.0062855,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.037555,           0.0076356,                   0,             0.91337,             0.76269,             0.89002,             0.44801,            0.031998,           0.0058356,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.041277,           0.0077169,                   0,             0.84577,             0.80426,             0.88682,             0.47863,            0.029592,           0.0057633,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.040932,           0.0072794,                   0,             0.84748,             0.81277,             0.87603,             0.46933,             0.03324,           0.0056889,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.03979,           0.0070738,                   0,             0.80798,             0.80576,              0.8587,             0.47514,            0.032815,           0.0055618,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.040159,           0.0069822,                   0,             0.83587,             0.83404,             0.89074,             0.43424,            0.029558,           0.0052987,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.040927,           0.0069235,                   0,             0.86463,             0.84256,             0.88744,             0.46428,            0.029941,           0.0052274,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.039381,           0.0066222,                   0,             0.81569,             0.88511,             0.90094,              0.5021,            0.029309,           0.0049786,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.034466,           0.0064904,                   0,             0.88247,              0.7988,             0.89112,             0.51103,            0.027794,           0.0049478,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.036878,           0.0064853,                   0,             0.83711,             0.87473,             0.90636,             0.49271,            0.029322,           0.0048478,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.034788,            0.006045,                   0,             0.84996,             0.86782,             0.90758,             0.48129,            0.029101,            0.004851,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.034985,           0.0064487,                   0,             0.87192,             0.85957,              0.9108,             0.52377,            0.026813,           0.0049407,                   0,             0.00802,             0.00802,             0.00802
